VideoId,View Count,Average Comment Length,Total Comments
k4AkXKXw_JE,20076,20.4017094017,117
CJOBbycyRdo,20019,12.4423076923,52
87bN3griilQ,19798,23.12,150
s81OipUilOo,19473,40.193877551,98
GHVbxsbECCM,19045,8.0,5
NSHmx0fwy3w,18460,10.6,10
0JyBE53RTjA,18384,39.5221238938,113
pxzWhaqFy7s,18335,43.8376623377,154
vqj5lRQB1QA,18264,12.3768115942,69
i76lfDlVBxc,18051,16.0,8
mHWup7ifW2M,17958,36.0909090909,11
t6nb81TNyZs,17951,35.9550561798,89
18St9VbpL7I,17627,29.984375,64
wxSBhFYJHoI,17567,10.4772727273,88
3x7pUhf__Pg,17371,22.3076923077,208
YDHXu1PjoRA,17290,23.6821705426,129
572XYud1gaw,16993,11.2222222222,27
WPv5VwBpdhM,16474,33.180952381,210
NlI_Wlds2QU,16244,30.1578947368,76
8f4GQethVgk,15204,16.5862068966,87
p0v-OUglDA4,15132,37.1052631579,19
7t44vGY3spo,15130,27.049382716,162
3ttR1lvtezY,14954,28.0,8
2eCmWa_q4xU,14921,33.3888888889,36
42Iij63auls,14921,18.3214285714,28
Jd2HLvSqX1Q,14860,10.8421052632,19
PyRulQjPqhg,14785,20.0,26
Om5-R4Jc-Tk,14493,22.7272727273,22
7kBaF0M6kAI,14423,35.387755102,98
EoRK3O4430g,14238,32.3103448276,87
rKbbghDl7f8,13996,16.2727272727,11
mUL__wpTR4g,13992,13.2098765432,81
gFXk-4E4-BE,13843,21.7435897436,39
f65G1wYqP5c,13839,27.4528301887,106
nTEE3W4906g,13779,6.87248322148,298
gFYbepU1w5k,13743,21.350877193,114
NnYrtsDA6Qk,13666,35.7727272727,22
RbFqyeMvoao,13522,8.64705882353,34
KCHv6ScPfL4,13493,34.0263157895,38
Rz_cU80XlCI,13428,11.2,5
hYbTfD6kI6o,13288,23.8442622951,122
mX31iqIcZTw,13151,22.6846153846,130
gS8QILtF0Uc,12978,15.1666666667,12
li_rIfMguyg,12973,19.0,126
c6ifUcm0gAs,12970,40.6913580247,81
9FAnyXm8AAU,12915,19.6422018349,109
3b8wq-ru6p0,12615,19.5084745763,59
H8gA071cwUc,12157,14.5555555556,9
96HwFJeNn2Q,11974,17.4743589744,156
YfNrdaH-3y4,11663,11.0,6
KHNLrEuEZ5o,11427,28.1666666667,6
AClfkNmGJL8,11272,9.93333333333,15
H-SxmeyZR1g,11207,29.6666666667,147
XNt5Jb1MLK0,11051,7.81318681319,91
kvI5KM7sZR8,10966,18.9666666667,30
wzcHrQcxqN0,10903,15.7142857143,7
Q7cl-J_q3J8,10878,17.2588235294,85
Apv6UPhQ_bw,10732,21.0,2
d90ph2b8wZE,10732,16.8392857143,112
k-dXhHQ__Lk,10636,35.6,20
RlUA-L6mvnE,10576,12.3597560976,164
Htp5R2ATIow,10557,6.53846153846,39
2l1faHEJLvI,10423,20.7407407407,27
WSR7d8l_1O4,10301,31.2720588235,136
tF8CXMMCrlo,10287,14.2,5
vKg8vJtX4lI,10259,15.661971831,71
c5FVDG5AGxc,10168,16.625,8
c1qfkqFW0wg,10151,25.8095238095,63
bKlz8wMRwrg,10118,13.7142857143,7
2QDHlakUUiY,10022,15.1724137931,87
koLeIaYKP1I,10002,16.3333333333,39
hjHaRZYXK-g,9927,6.5,6
xNCGkrat6gE,9885,30.2857142857,14
TDR4f4iH9a4,9786,15.35,80
GJXfDqb8NUA,9786,6.98709677419,155
rLz3IUBKhRo,9704,22.5333333333,75
aX0VI7B9rIw,9537,22.6444444444,45
qqhruGNyWUU,9289,19.4733333333,150
J6ZvY9VvNNY,9218,14.4375,16
5_YC3emqY-o,9092,15.8223684211,152
5sREtqoAlbs,8962,21.5479452055,73
PrJ2vviyzxM,8912,23.1489361702,47
NxhUeNCn6AU,8861,41.0,69
9XH1b0xHJGQ,8789,30.9230769231,39
4m__xUr1wsc,8673,14.4655172414,58
964BTEkpTzg,8620,35.4545454545,44
sCygAGomaKc,8607,38.6666666667,48
9Oy627o56YM,8567,39.7777777778,18
dX7cMp9tO_Q,8539,23.0,12
VhHE0jCSVTc,8496,20.7894736842,38
0SUW8ztIXB0,8397,15.3898305085,59
0K55a5SM9yM,8379,29.625,8
L8em8BMk2ww,8359,30.7,30
LPjsn2soN6w,8303,32.52,25
0srKayqvlRg,8217,30.625,8
v5_T4odEODM,8216,33.8974358974,78
3pBqfHnJoUU,8131,6.73333333333,30
xuZyanNzy7s,7972,17.9207920792,101
7ar9XL4e9dI,7829,7.45454545455,66
aUeWKhSkqUU,7697,18.3134328358,67
mLqGeyzQZ-s,7556,36.4,25
Kr_28uRQ30Q,7446,26.6111111111,36
d74gzb6KunI,7429,20.7575757576,33
gaST3cijynU,7207,18.7941176471,34
ydCN_v0tr10,7145,53.6764705882,272
KpSfNA3TK6c,7043,16.0,2
6pDAvnrDTa0,6944,26.68,50
-RojZ_QeBZM,6931,42.9122807018,57
2SXLIAzkgPg,6884,11.3333333333,3
k_yo1wOvFks,6828,34.5,4
QRdnkEzjytA,6709,28.6114649682,314
qzPPA7WoLMw,6692,32.7130434783,115
05gjX9IPFqU,6635,19.3,70
VyHgfoiBr0g,6500,24.7291666667,48
Vo_5_x5ZjO8,6490,18.5555555556,18
XFs5ORsAN8s,6480,11.4390243902,41
BC0gmUHKWhQ,6446,24.4545454545,33
1jT5o8Hacrc,6405,26.0384615385,26
vs6rvjagj3Q,6387,15.125,8
rLm6GWP2rag,6368,29.7333333333,90
6O5H6bq0GOQ,6367,45.0909090909,11
xQkaYAcJmoA,6303,18.3389830508,59
6igOEnI_H4c,6269,17.4888888889,90
LKsDavAytF0,6224,9.12,25
ouGoGcNmHlM,6216,8.66666666667,63
NBd8eEanaio,6148,36.4347826087,23
KQ7q9XMA_Ik,6131,33.7272727273,11
-bAQnRDH0xo,6114,27.4571428571,35
h7WcshwtoIw,6077,23.4393939394,66
KbFvG4LGJnI,6020,10.75,4
5e7RpK9aE6c,5929,11.2258064516,31
n3VcTyFqFzo,5875,14.7130044843,223
QT1k41FfodE,5875,19.3076923077,13
qac4drWjAgA,5852,13.9782608696,46
9x2AqbG3VUg,5848,39.1441176471,340
FG4Knc0-uZc,5842,11.7777777778,9
B0r_IG6DvrM,5792,15.5789473684,19
tctmao6rJxE,5776,44.6538461538,26
dRbn72gu_NQ,5759,13.1428571429,14
