VideoId,View Count,Average Comment Length,Total Comments
SbFmJrUbwOw,814304,20.9002739726,1825
qWTyus2YFbI,808933,2.75342465753,73
oaSrv8coB8I,805754,14.3741109531,703
lcMlnp5O2Ls,797760,15.1048824593,553
TJV7DeR6ISw,796840,19.0186666667,750
ZURSERuJqjk,796129,7.77966101695,236
rSWSXhLQWBE,791741,11.4585635359,362
ldEJ4ZRS4qY,768857,12.2274881517,211
UA3l0O8TaOM,764773,20.1262683202,887
7xwYOFIWlg8,753289,18.304822566,1099
OmtTboaRo7k,739307,8.6935483871,124
W5d6cOK6Gy0,737984,11.697228145,469
8LYvQTBu4vM,734592,14.375,496
TMP3TVHhpFE,731561,12.1660735469,843
C1oBcPtH5aU,717618,23.4680851064,1645
RKbHUhh3eEI,702680,16.4216666667,600
t4oebxLUHTg,698098,19.3591662213,1871
LlQ13p90L5o,697201,30.4835941444,1981
uQqHPywVXoM,696783,24.8988764045,356
_9l8DN3xk6U,695123,19.927140255,1098
7k1b8s1VfMQ,692210,15.4222222222,540
rmvnS69rOr4,690850,17.2540192926,622
kSvKv5FjZBs,688227,10.5365853659,492
Q1sDdCNyRwA,672223,20.2518968134,659
x69kM2J4I9k,669167,21.1564885496,262
zc5q5OAK6Ns,663463,25.4704890388,593
QZgc-ljGWjw,662865,15.0618181818,825
NtXt_UsZ4YQ,655821,21.490530303,528
F5xaHgscoUM,645591,11.25,8
9N_wdeurHYw,644344,19.34,150
DYIgGyDkTQQ,643680,15.4238505747,696
hwLRVDbOnLg,640722,12.2130681818,352
NIZmijtZBBk,639650,15.6366782007,289
xkzVEu-Y1LU,639206,15.3333333333,951
m7jj7JZ6VwA,635447,17.9043478261,460
WLtwyOu_95Y,633517,10.1811722913,563
dHFGYNDr7Qk,633318,13.3770139635,931
d0btw8IZal0,629605,15.9928315412,279
LWUHEEEm7ew,618386,12.3289473684,76
9hsoM1SJENU,609820,14.3242320819,293
zN-KoSgec58,604220,10.843575419,179
wEk3DmrzmXs,603380,22.7936288089,722
-P4zknF73NQ,602717,11.5548628429,1604
qyZWVFVpvJE,600544,7.55854126679,521
